Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA,Year
Paul Pogba,1,16,28.0,16,1349,1.0,1.0,9.0,7.0,1.0,2.6,2.6,3.5,3
Mason Greenwood,2,16,19.0,16,1271,5.0,5.0,1.0,1.0,0.0,4.3,4.3,1.8,3
Anthony Elanga,2,16,19.0,14,1214,2.0,2.0,2.0,0.0,0.0,2.6,2.6,2.4,3
Marcus Rashford,2,16,23.0,13,1235,4.0,4.0,2.0,2.0,0.0,2.9,2.9,2.1,3
Edinson Cavani,2,16,34.0,7,766,2.0,2.0,1.0,0.0,0.0,3.4,3.4,1.2,3
Eric Bailly,0,16,27.0,3,217,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Jesse Lingard,2,16,28.0,2,367,2.0,2.0,0.0,1.0,0.0,0.6,0.6,0.3,3
Juan Mata,1,16,33.0,2,235,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,3
Anthony Martial,2,16,25.0,2,212,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.0,3
Phil Jones,0,16,29.0,2,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel James,2,16,23.0,2,126,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,3
Hannibal Mejbri,2,16,18.0,1,68,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,3
Donny van de Beek,1,16,24.0,0,75,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.4,3
Shola Shoretire,1,16,17.0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Alejandro Garnacho,2,16,17.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Allan Saint-Maximin,2,17,24.0,31,2804,5.0,5.0,5.0,6.0,0.0,5.2,5.2,4.3,3
Joelinton,1,17,24.0,30,2558,4.0,4.0,1.0,8.0,0.0,3.3,3.3,1.9,3
Fabian Schär,0,17,29.0,25,2158,2.0,2.0,2.0,4.0,0.0,1.2,1.2,1.1,3
Joe Willock,1,17,21.0,24,2038,2.0,2.0,0.0,0.0,0.0,3.2,3.2,1.2,3
Jamaal Lascelles,0,17,27.0,22,2058,1.0,1.0,0.0,5.0,0.0,0.9,0.9,0.4,3
Jonjo Shelvey,1,17,29.0,22,1983,2.0,2.0,1.0,7.0,1.0,0.9,0.9,1.0,3
Miguel Almirón,1,17,27.0,19,1716,1.0,1.0,0.0,2.0,0.0,1.7,1.7,0.9,3
Emil Krafth,0,17,26.0,18,1634,0.0,0.0,1.0,5.0,0.0,0.3,0.3,1.0,3
Ryan Fraser,2,17,27.0,18,1465,2.0,2.0,3.0,3.0,0.0,2.7,2.7,2.1,3
Dan Burn,0,17,29.0,16,1440,0.0,0.0,1.0,4.0,0.0,0.7,0.7,0.4,3
Matt Targett,0,17,25.0,16,1440,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.9,3
Callum Wilson,2,17,29.0,16,1386,8.0,6.0,0.0,4.0,0.0,6.2,4.6,0.5,3
Sean Longstaff,1,17,23.0,15,1464,1.0,1.0,1.0,1.0,0.0,0.7,0.7,0.8,3
Chris Wood,2,17,29.0,15,1327,2.0,1.0,0.0,0.0,0.0,3.1,2.3,1.1,3
Javier Manquillo,0,17,27.0,15,1257,1.0,1.0,2.0,5.0,0.0,0.3,0.3,0.3,3
Matt Ritchie,0,17,31.0,14,1337,0.0,0.0,2.0,5.0,0.0,0.7,0.7,2.0,3
Jacob Murphy,2,17,26.0,13,1473,1.0,1.0,2.0,4.0,0.0,2.2,2.2,2.6,3
Ciaran Clark,0,17,31.0,12,1014,0.0,0.0,1.0,2.0,1.0,1.1,1.1,0.3,3
Isaac Hayden,1,17,26.0,12,1002,1.0,1.0,0.0,5.0,0.0,0.4,0.4,0.0,3
Bruno Guimarães,1,17,23.0,11,1034,5.0,5.0,1.0,4.0,0.0,3.1,3.1,1.1,3
Federico Fernández,0,17,32.0,5,523,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,3
Kieran Trippier,0,17,30.0,5,429,2.0,2.0,0.0,0.0,0.0,0.2,0.2,0.3,3
Jamal Lewis,0,17,23.0,4,262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Paul Dummett,0,17,29.0,2,198,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3
Jeff Hendrick,1,17,29.0,0,72,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Dwight Gayle,2,17,30.0,0,38,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,3
Teemu Pukki,2,18,31.0,37,3253,11.0,8.0,3.0,4.0,0.0,11.4,9.1,3.8,3
Grant Hanley,0,18,29.0,33,2897,1.0,1.0,0.0,2.0,0.0,2.1,2.1,0.9,3
Max Aarons,0,18,21.0,32,2881,0.0,0.0,2.0,8.0,0.0,0.8,0.8,1.7,3
Kenny McLean,1,18,29.0,29,2706,1.0,1.0,0.0,3.0,0.0,1.8,1.8,0.8,3
Ben Gibson,0,18,28.0,28,2494,0.0,0.0,0.0,5.0,1.0,1.4,1.4,0.2,3
Pierre Lees-Melou,1,18,28.0,27,2265,1.0,1.0,0.0,5.0,0.0,1.6,1.6,1.9,3
Milot Rashica,2,18,25.0,25,2229,1.0,1.0,2.0,0.0,0.0,2.6,2.6,2.1,3
Brandon Williams,0,18,20.0,23,2120,0.0,0.0,1.0,8.0,0.0,0.2,0.2,1.9,3
Billy Gilmour,1,18,20.0,21,1855,0.0,0.0,1.0,2.0,0.0,0.9,0.9,1.4,3
Mathias Normann,1,18,25.0,20,1645,1.0,1.0,2.0,6.0,0.0,0.9,0.9,1.8,3
Josh Sargent,2,18,21.0,18,1572,2.0,2.0,1.0,1.0,0.0,2.5,2.5,0.9,3
Dimitris Giannoulis,0,18,25.0,14,1169,0.0,0.0,1.0,2.0,0.0,0.1,0.1,0.6,3
Sam Byram,0,18,27.0,11,1027,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,3
Ozan Kabak,0,18,21.0,11,922,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,3
Kieran Dowell,2,18,23.0,11,912,1.0,1.0,1.0,0.0,0.0,1.1,1.1,1.5,3
Lukas Rupp,1,18,30.0,7,769,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.4,3
Adam Idah,2,18,20.0,6,625,1.0,1.0,1.0,0.0,0.0,2.3,2.3,0.6,3
Jakob Sørensen,1,18,23.0,6,604,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,3
Przemysław Płacheta,2,18,23.0,6,504,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,3
Todd Cantwell,2,18,23.0,5,441,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,3
Andrew Omobamidele,0,18,19.0,4,382,1.0,1.0,0.0,1.0,0.0,0.2,0.2,0.0,3
Christos Tzolis,2,18,19.0,3,336,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,3
Christoph Zimmermann,0,18,28.0,2,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Tony Springett,1,18,18.0,1,141,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,3
Jon Rowe,2,18,18.0,0,223,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.5,3
Bali Mumba,0,18,19.0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
James Ward-Prowse,1,21,26.0,36,3215,10.0,6.0,5.0,3.0,1.0,5.4,2.2,6.5,3
Oriol Romeu,1,21,29.0,34,2889,2.0,2.0,2.0,9.0,0.0,1.4,1.4,2.9,3
Mohammed Salisu,0,21,22.0,33,2972,0.0,0.0,0.0,10.0,1.0,2.0,2.0,0.8,3
Jan Bednarek,0,21,25.0,30,2629,4.0,4.0,0.0,10.0,0.0,2.2,2.2,0.4,3
Kyle Walker-Peters,0,21,24.0,29,2633,1.0,1.0,2.0,5.0,0.0,1.1,1.1,2.7,3
Valentino Livramento,0,21,18.0,25,2202,1.0,1.0,1.0,2.0,0.0,1.4,1.4,2.7,3
Mohamed Elyounoussi,1,21,26.0,23,2042,4.0,4.0,2.0,4.0,0.0,5.5,5.5,2.3,3
Che Adams,2,21,25.0,23,2039,7.0,7.0,3.0,0.0,0.0,7.1,7.1,3.0,3
Armando Broja,2,21,19.0,21,1975,6.0,6.0,0.0,2.0,0.0,5.9,5.9,1.0,3
Nathan Redmond,1,21,27.0,20,1833,1.0,1.0,5.0,0.0,0.0,1.7,1.7,3.9,3
Romain Perraud,0,21,23.0,18,1623,0.0,0.0,1.0,3.0,0.0,0.5,0.5,0.7,3
Adam Armstrong,2,21,24.0,17,1413,2.0,2.0,2.0,1.0,0.0,4.5,4.5,1.6,3
Stuart Armstrong,1,21,29.0,15,1473,2.0,2.0,0.0,1.0,0.0,2.5,2.5,1.5,3
Ibrahima Diallo,1,21,22.0,10,1023,0.0,0.0,2.0,1.0,0.0,0.4,0.4,1.0,3
Nathan Tella,1,21,22.0,10,804,0.0,0.0,1.0,2.0,0.0,0.6,0.6,0.6,3
Lyanco,0,21,24.0,9,911,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,3
Jack Stephens,0,21,27.0,9,811,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,3
Moussa Djenepo,1,21,23.0,5,457,0.0,0.0,0.0,3.0,0.0,1.5,1.5,0.3,3
Theo Walcott,1,21,32.0,5,379,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,3
Yan Valery,0,21,22.0,3,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3
Shane Long,2,21,34.0,3,308,1.0,1.0,0.0,1.0,0.0,0.9,0.9,0.1,3
William Smallbone,1,21,21.0,2,133,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Harry Kane,2,22,28.0,36,3232,17.0,13.0,9.0,5.0,0.0,18.6,15.4,9.1,3
Pierre Højbjerg,1,22,25.0,36,3196,2.0,2.0,2.0,3.0,0.0,1.9,1.9,2.3,3
Eric Dier,0,22,27.0,35,3071,0.0,0.0,0.0,1.0,0.0,1.2,1.2,1.1,3
Son Heung-min,1,22,29.0,35,3006,23.0,23.0,7.0,2.0,0.0,15.9,15.9,7.5,3
Ben Davies,0,22,28.0,28,2538,1.0,1.0,1.0,6.0,0.0,2.3,2.3,0.5,3
Emerson,0,22,22.0,26,2286,1.0,1.0,1.0,5.0,0.0,1.5,1.5,2.2,3
Sergio Reguilón,0,22,24.0,22,1916,2.0,2.0,3.0,4.0,0.0,3.0,3.0,3.3,3
Cristian Romero,0,22,23.0,21,1844,1.0,1.0,0.0,8.0,0.0,0.5,0.5,0.3,3
Lucas Moura,2,22,28.0,19,1775,2.0,2.0,6.0,4.0,0.0,2.7,2.7,5.0,3
Davinson Sánchez,0,22,25.0,17,1631,2.0,2.0,0.0,4.0,0.0,2.1,2.1,0.3,3
Rodrigo Bentancur,1,22,24.0,16,1361,0.0,0.0,4.0,5.0,0.0,0.8,0.8,2.6,3
Oliver Skipp,1,22,20.0,14,1350,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.7,3
Dejan Kulusevski,1,22,21.0,14,1261,5.0,5.0,8.0,3.0,0.0,2.7,2.7,3.4,3
Ryan Sessegnon,0,22,21.0,13,1047,0.0,0.0,2.0,2.0,0.0,0.3,0.3,2.7,3
Japhet Tanganga,0,22,22.0,10,735,0.0,0.0,0.0,4.0,1.0,0.4,0.4,0.2,3
Harry Winks,1,22,25.0,9,912,0.0,0.0,1.0,2.0,0.0,0.1,0.1,1.5,3
Matt Doherty,0,22,29.0,9,875,2.0,2.0,4.0,0.0,0.0,2.5,2.5,2.0,3
Dele Alli,1,22,25.0,8,657,1.0,0.0,0.0,1.0,0.0,1.6,0.8,0.3,3
Tanguy Ndombele,1,22,24.0,6,484,1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.4,3
Steven Bergwijn,2,22,23.0,4,565,3.0,3.0,1.0,1.0,0.0,2.5,2.5,0.9,3
Giovani Lo Celso,1,22,25.0,2,238,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,3
Bryan Gil,2,22,20.0,0,94,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,3
Joe Rodon,0,22,23.0,0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dane Scarlett,1,22,17.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Moussa Sissoko,1,23,31.0,36,3220,2.0,2.0,1.0,5.0,0.0,3.8,3.7,3.1,3
Emmanuel Dennis,2,23,23.0,30,2581,10.0,10.0,6.0,9.0,1.0,7.3,7.3,4.1,3
Craig Cathcart,0,23,32.0,27,2396,0.0,0.0,1.0,3.0,0.0,0.2,0.2,1.2,3
Joshua King,2,23,29.0,27,2248,5.0,4.0,3.0,5.0,0.0,8.9,8.1,3.8,3
Kiko Femenía,0,23,30.0,26,2142,0.0,0.0,5.0,2.0,0.0,0.1,0.1,3.6,3
Juraj Kucka,1,23,34.0,22,1920,1.0,1.0,1.0,5.0,1.0,3.2,3.2,0.9,3
Ismaila Sarr,2,23,23.0,21,1861,5.0,5.0,2.0,2.0,0.0,4.8,4.0,2.9,3
Tom Cleverley,1,23,31.0,20,1616,0.0,0.0,2.0,2.0,0.0,0.7,0.7,2.1,3
Samir Santos,0,23,26.0,19,1673,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.1,3
Hassane Kamara,0,23,27.0,18,1623,1.0,1.0,0.0,5.0,1.0,0.2,0.2,0.6,3
Imran Louza,1,23,22.0,17,1416,0.0,0.0,0.0,6.0,0.0,1.2,1.2,1.1,3
João Pedro,2,23,19.0,15,1644,3.0,3.0,1.0,1.0,0.0,3.6,3.6,2.8,3
William Troost-Ekong,0,23,27.0,15,1390,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,3
Adam Masina,0,23,27.0,13,1077,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.7,3
Christian Kabasele,0,23,30.0,12,1193,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,3
Cucho,2,23,22.0,11,1147,5.0,5.0,2.0,3.0,0.0,2.5,2.5,1.9,3
Jeremy Ngakia,0,23,20.0,9,903,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,3
Edo Kayembe,1,23,23.0,9,799,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,3
Ken Sema,1,23,27.0,7,852,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.3,3
Danny Rose,0,23,31.0,7,689,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.8,3
Francisco Sierralta,0,23,24.0,5,427,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Oghenekaro Etebo,1,23,25.0,4,401,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,3
Ozan Tufan,1,23,26.0,4,334,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,3
Samuel Kalu,2,23,23.0,2,222,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,3
Nicolas Nkoulou,0,23,31.0,2,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dan Gosling,1,23,31.0,2,166,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,3
Ashley Fletcher,2,23,25.0,0,30,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,3
Troy Deeney,2,23,33.0,0,25,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,3
Declan Rice,1,25,22.0,35,3179,1.0,1.0,4.0,8.0,0.0,1.1,1.1,1.7,3
Tomáš Souček,1,25,26.0,34,3062,5.0,5.0,1.0,3.0,0.0,5.5,4.8,2.2,3
Jarrod Bowen,2,25,24.0,34,2983,12.0,12.0,10.0,6.0,0.0,11.9,11.9,6.1,3
Michail Antonio,2,25,31.0,34,2971,10.0,10.0,8.0,8.0,1.0,10.8,10.2,6.0,3
Pablo Fornals,2,25,25.0,32,2795,6.0,6.0,3.0,4.0,0.0,4.6,4.6,6.3,3
Aaron Cresswell,0,25,31.0,31,2726,2.0,2.0,3.0,3.0,0.0,1.1,1.1,3.2,3
Craig Dawson,0,25,31.0,30,2754,2.0,2.0,2.0,5.0,1.0,3.0,3.0,1.0,3
Saïd Benrahma,2,25,25.0,26,2168,8.0,8.0,6.0,0.0,0.0,4.8,4.8,3.7,3
Vladimír Coufal,0,25,28.0,25,2209,0.0,0.0,4.0,5.0,1.0,0.8,0.8,2.1,3
Kurt Zouma,0,25,26.0,24,2078,1.0,1.0,0.0,1.0,0.0,1.1,1.1,0.1,3
Manuel Lanzini,1,25,28.0,19,1786,5.0,2.0,3.0,2.0,0.0,3.7,1.3,2.4,3
Ben Johnson,0,25,21.0,16,1397,1.0,1.0,0.0,1.0,0.0,0.2,0.2,0.6,3
Angelo Ogbonna,0,25,33.0,11,921,1.0,1.0,0.0,1.0,0.0,0.3,0.3,0.0,3
Issa Diop,0,25,24.0,10,963,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.4,3
Arthur Masuaku,0,25,27.0,6,650,1.0,1.0,1.0,1.0,0.0,0.1,0.1,0.8,3
Nikola Vlašić,2,25,23.0,6,560,1.0,1.0,0.0,0.0,0.0,1.3,1.3,0.6,3
Mark Noble,1,25,34.0,3,332,1.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,3
Ryan Fredericks,0,25,28.0,3,307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,3
Andriy Yarmolenko,2,25,31.0,1,316,1.0,1.0,0.0,1.0,0.0,0.8,0.8,0.3,3
Harrison Ashby,0,25,19.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Chesters,1,25,19.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Alex Král,1,25,23.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Conor Coady,0,26,28.0,38,3361,4.0,4.0,0.0,4.0,0.0,2.8,2.8,0.1,3
João Moutinho,1,26,34.0,34,2970,2.0,2.0,1.0,4.0,0.0,1.3,1.3,2.7,3
Romain Saïss,0,26,31.0,31,2705,2.0,2.0,0.0,6.0,0.0,2.7,2.7,0.3,3
Rúben Neves,1,26,24.0,31,2661,4.0,4.0,2.0,9.0,0.0,1.1,1.1,3.1,3
Max Kilman,0,26,24.0,30,2687,1.0,1.0,0.0,3.0,0.0,1.1,1.1,0.2,3
Raúl Jiménez,2,26,30.0,30,2631,6.0,5.0,4.0,9.0,2.0,6.1,5.4,3.1,3
Nélson Semedo,1,26,27.0,25,2131,0.0,0.0,1.0,1.0,0.0,1.6,1.6,1.3,3
Leander Dendoncker,1,26,26.0,21,1950,2.0,2.0,2.0,4.0,0.0,2.2,2.2,1.1,3
Rayan Aït Nouri,0,26,20.0,20,1828,1.0,1.0,2.0,4.0,0.0,0.6,0.6,1.6,3
Hwang Hee-chan,2,26,25.0,20,1816,5.0,5.0,1.0,2.0,0.0,4.4,4.4,1.3,3
Fernando Marçal,1,26,32.0,17,1449,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,3
Francisco Trincão,2,26,21.0,16,1336,2.0,2.0,1.0,0.0,0.0,3.7,3.7,1.6,3
Daniel Podence,2,26,25.0,15,1484,2.0,2.0,3.0,2.0,0.0,2.0,2.0,3.9,3
Adama Traoré,2,26,25.0,10,1067,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.4,3
Jonny Castro,0,26,27.0,10,1024,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.3,3
Willy Boly,0,26,30.0,10,900,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,3
Fábio Silva,2,26,19.0,6,572,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.2,3
Pedro Neto,2,26,21.0,5,466,1.0,1.0,1.0,3.0,0.0,1.5,1.5,1.0,3
Toti Gomes,0,26,22.0,4,360,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Ki-Jana Hoever,0,26,19.0,4,308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,3
Luke Cundle,1,26,19.0,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3
Chiquinho,0,26,21.0,1,208,0.0,0.0,3.0,0.0,0.0,0.6,0.6,0.7,3
Chem Campbell,1,26,18.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Morgan Gibbs-White,0,26,21.0,0,9,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,3
