Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA,Year
Callum Hudson-Odoi,1,7,20.0,11,962,1.0,1.0,2.0,1.0,0.0,2.5,2.5,2.1,3
Malang Sarr,0,7,22.0,6,546,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,3
Ben Chilwell,0,7,24.0,6,542,3.0,3.0,1.0,0.0,0.0,0.9,0.9,0.8,3
Saúl Ñíguez,0,7,26.0,5,480,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,3
Ross Barkley,1,7,27.0,1,179,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,3
Kenedy,0,7,25.0,1,58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,3
Emerson Palmieri,0,7,26.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Marc Guéhi,0,8,21.0,36,3222,2.0,2.0,1.0,4.0,0.0,2.5,2.5,1.3,3
Tyrick Mitchell,0,8,21.0,35,3101,0.0,0.0,2.0,1.0,0.0,0.2,0.2,1.7,3
Conor Gallagher,1,8,21.0,33,2845,8.0,8.0,3.0,10.0,0.0,6.3,6.3,3.1,3
Joachim Andersen,0,8,25.0,32,2916,0.0,0.0,3.0,4.0,0.0,0.7,0.7,1.7,3
Wilfried Zaha,2,8,28.0,31,2760,14.0,9.0,1.0,6.0,1.0,9.5,3.9,5.1,3
Joel Ward,0,8,31.0,27,2487,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.5,3
Jordan Ayew,2,8,29.0,23,2019,3.0,3.0,3.0,2.0,0.0,3.1,3.1,2.8,3
Cheikhou Kouyaté,1,8,31.0,23,1974,0.0,0.0,1.0,3.0,0.0,0.5,0.5,0.8,3
Jeffrey Schlupp,1,8,28.0,20,1851,4.0,4.0,1.0,1.0,0.0,3.4,3.4,1.6,3
Odsonne Édouard,2,8,23.0,18,1564,6.0,5.0,3.0,4.0,0.0,6.4,5.6,1.9,3
James McArthur,1,8,33.0,15,1439,0.0,0.0,3.0,4.0,0.0,0.3,0.3,1.4,3
Nathaniel Clyne,0,8,30.0,15,1351,0.0,0.0,1.0,1.0,0.0,0.1,0.1,0.4,3
Jean-Philippe Mateta,2,8,24.0,13,1145,5.0,5.0,1.0,2.0,0.0,5.8,5.8,1.3,3
Will Hughes,1,8,26.0,13,1053,0.0,0.0,1.0,6.0,0.0,0.1,0.1,0.6,3
Michael Olise,2,8,19.0,12,1141,2.0,2.0,5.0,4.0,0.0,1.7,1.7,3.9,3
Christian Benteke,2,8,30.0,11,1145,4.0,4.0,1.0,3.0,0.0,4.9,4.9,1.3,3
Luka Milivojević,1,8,30.0,9,774,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,3
Eberechi Eze,1,8,23.0,6,605,1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.9,3
James Tomkins,0,8,32.0,6,547,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.2,3
Jaïro Riedewald,1,8,24.0,1,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3
Jesuran Rak Sakyi,2,8,18.0,1,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Nathan Ferguson,0,8,20.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Michael Keane,0,9,28.0,31,2792,3.0,3.0,2.0,4.0,1.0,1.2,1.2,1.6,3
Séamus Coleman,0,9,32.0,30,2656,1.0,1.0,0.0,4.0,0.0,1.2,1.2,0.8,3
Abdoulaye Doucouré,1,9,28.0,29,2537,2.0,2.0,4.0,6.0,0.0,2.2,2.2,2.0,3
Richarlison,2,9,24.0,28,2523,10.0,7.0,5.0,9.0,0.0,9.2,6.8,3.6,3
Demarai Gray,1,9,25.0,28,2338,5.0,5.0,4.0,3.0,0.0,4.0,4.0,3.6,3
Anthony Gordon,1,9,20.0,25,2285,4.0,4.0,2.0,4.0,0.0,3.5,3.5,3.8,3
Allan,1,9,30.0,25,2183,0.0,0.0,2.0,7.0,1.0,0.2,0.2,0.8,3
Mason Holgate,0,9,24.0,23,2134,2.0,2.0,1.0,7.0,1.0,1.3,1.3,0.1,3
Ben Godfrey,0,9,23.0,23,2029,0.0,0.0,0.0,6.0,0.0,1.4,1.4,0.8,3
Alex Iwobi,1,9,25.0,22,2035,2.0,2.0,2.0,1.0,0.0,2.3,2.3,2.6,3
Andros Townsend,1,9,30.0,17,1455,3.0,2.0,2.0,3.0,0.0,2.2,1.5,3.1,3
Dominic Calvert-Lewin,2,9,24.0,15,1283,5.0,3.0,2.0,2.0,0.0,6.5,4.2,1.6,3
Lucas Digne,0,9,28.0,13,1170,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,3
Vitaliy Mykolenko,0,9,22.0,12,1055,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.8,3
Jonjoe Kenny,0,9,24.0,11,1018,0.0,0.0,1.0,3.0,1.0,0.2,0.2,0.8,3
Yerry Mina,0,9,26.0,11,846,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,3
Salomón Rondón,2,9,31.0,8,790,1.0,1.0,1.0,3.0,1.0,1.8,1.8,0.7,3
Fabian Delph,1,9,31.0,8,662,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,3
André Gomes,1,9,28.0,7,619,0.0,0.0,1.0,3.0,0.0,0.7,0.7,0.2,3
Donny van de Beek,1,9,24.0,5,483,1.0,1.0,0.0,1.0,0.0,1.1,1.1,0.1,3
Jarrad Branthwaite,0,9,19.0,4,388,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,3
Tom Davies,1,9,23.0,2,234,1.0,1.0,0.0,1.0,0.0,0.8,0.8,0.0,3
Dele Alli,1,9,25.0,1,338,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,3
Jean-Philippe Gbamin,1,9,25.0,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ellis Simms,2,9,20.0,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Lewis Dobbin,2,9,18.0,0,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Tyler Onyango,1,9,18.0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Isaac Price,1,9,17.0,0,14,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3
Anwar El Ghazi,2,9,26.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Cenk Tosun,1,9,30.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Moise Kean,2,9,21.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Stuart Dallas,0,12,30.0,34,2919,1.0,1.0,1.0,5.0,0.0,1.9,1.9,2.3,3
Raphinha,2,12,24.0,34,2915,11.0,7.0,3.0,7.0,0.0,10.2,7.0,7.5,3
Jack Harrison,2,12,24.0,32,2639,8.0,8.0,1.0,3.0,0.0,4.4,4.4,3.2,3
Daniel James,2,12,23.0,29,2366,4.0,4.0,4.0,7.0,1.0,6.1,6.1,2.9,3
Diego Llorente,0,12,27.0,28,2340,3.0,3.0,0.0,7.0,0.0,1.0,1.0,0.1,3
Rodrigo,1,12,30.0,27,2265,6.0,5.0,1.0,9.0,0.0,4.2,3.5,3.1,3
Luke Ayling,0,12,29.0,26,2272,2.0,2.0,2.0,4.0,1.0,1.2,1.2,1.8,3
Mateusz Klich,1,12,31.0,26,2073,1.0,1.0,2.0,5.0,0.0,2.8,2.8,2.2,3
Pascal Struijk,0,12,21.0,22,2055,1.0,1.0,0.0,6.0,1.0,1.4,1.4,0.4,3
Liam Cooper,0,12,29.0,21,1814,0.0,0.0,1.0,5.0,0.0,0.4,0.4,0.1,3
Junior Firpo,0,12,24.0,19,1711,0.0,0.0,2.0,11.0,0.0,0.9,0.9,1.9,3
Kalvin Phillips,1,12,25.0,18,1596,0.0,0.0,1.0,4.0,0.0,0.7,0.7,0.7,3
Robin Koch,1,12,25.0,17,1574,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,3
Adam Forshaw,1,12,29.0,17,1530,0.0,0.0,1.0,5.0,0.0,0.5,0.5,1.0,3
Tyler Roberts,1,12,22.0,7,987,1.0,1.0,1.0,5.0,0.0,2.4,2.4,1.0,3
Jamie Shackleton,0,12,21.0,7,709,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,3
Patrick Bamford,2,12,27.0,7,559,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.1,3
Joe Gelhardt,2,12,19.0,5,746,2.0,2.0,2.0,4.0,0.0,3.0,3.0,1.6,3
Sam Greenwood,1,12,19.0,1,237,0.0,0.0,2.0,0.0,0.0,0.3,0.3,0.2,3
Lewis Bate,1,12,18.0,1,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Charlie Cresswell,0,12,18.0,1,141,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,3
Cody Drameh,0,12,19.0,1,128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Leo Fuhr Hjelde,1,12,17.0,0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Crysencio Summerville,1,12,19.0,0,130,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3
Hélder Costa,1,12,27.0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Liam McCarron,2,12,20.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Stuart McKinstry,1,12,18.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
