Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Gabriel Dos Santos,3,0,24,38,3409,3.0,3.0,0.0,5.0,0.0,5.1,5.1,0.3
Bukayo Saka,1,0,20,37,3181,14.0,12.0,11.0,6.0,0.0,11.2,9.1,8.5
Martin Ødegaard,2,0,23,37,3127,15.0,15.0,7.0,4.0,0.0,10.0,10.0,8.1
Ben White,3,0,24,36,3055,2.0,2.0,5.0,5.0,0.0,1.3,1.3,3.2
Granit Xhaka,2,0,29,36,2993,7.0,7.0,7.0,4.0,0.0,4.7,4.7,5.2
Martinelli,1,0,21,34,2789,15.0,15.0,5.0,3.0,0.0,9.3,9.3,9.1
Thomas Partey,2,0,29,28,2483,3.0,3.0,0.0,5.0,0.0,2.2,2.2,1.5
William Saliba,3,0,21,27,2415,2.0,2.0,1.0,4.0,0.0,0.9,0.9,1.2
Oleksandr Zinchenko,3,0,25,26,2118,1.0,1.0,2.0,3.0,0.0,1.4,1.4,1.4
Gabriel Jesus,1,0,25,24,2064,11.0,10.0,6.0,6.0,0.0,14.0,13.2,3.9
Leandro Trossard,1,0,27,10,931,1.0,1.0,10.0,0.0,0.0,1.8,1.8,4.7
Eddie Nketiah,1,0,23,9,1089,4.0,4.0,1.0,3.0,0.0,8.2,8.2,1.3
Jorginho,2,0,30,9,855,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2
Kieran Tierney,3,0,25,6,795,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.3
Takehiro Tomiyasu,3,0,23,6,663,0.0,0.0,1.0,2.0,0.0,0.2,0.2,0.6
Rob Holding,3,0,26,6,566,1.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0
Jakub Kiwior,3,0,22,5,427,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0
Fabio Vieira,2,0,22,3,514,1.0,1.0,2.0,0.0,0.0,0.8,0.8,2.5
Albert Sambi Lokonga,2,0,22,2,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,2,0,30,1,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reiss Nelson,1,0,22,0,212,3.0,3.0,2.0,0.0,0.0,1.1,1.1,1.4
Emile Smith Rowe,2,0,22,0,172,0.0,0.0,2.0,0.0,0.0,0.3,0.3,0.7
Cédric Soares,3,0,30,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquinhos,2,0,19,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Nwaneri,1,0,15,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezri Konsa,3,1,24,37,3322,0.0,0.0,0.0,6.0,0.0,1.1,1.1,1.3
Ollie Watkins,1,1,26,36,3127,15.0,14.0,6.0,4.0,0.0,16.5,14.9,3.8
Tyrone Mings,3,1,29,35,3150,1.0,1.0,2.0,7.0,0.0,1.2,1.2,1.4
Douglas Luiz,2,1,24,33,2927,6.0,6.0,6.0,6.0,1.0,2.8,2.8,4.4
Jacob Ramsey,2,1,21,31,2636,6.0,6.0,7.0,5.0,0.0,5.0,5.0,5.1
John McGinn,2,1,27,30,2693,1.0,1.0,3.0,7.0,0.0,2.4,2.4,2.6
Emi Buendía,2,1,25,27,2412,5.0,5.0,2.0,0.0,0.0,6.3,6.3,5.7
Leon Bailey,1,1,24,26,1967,4.0,4.0,4.0,4.0,0.0,5.3,5.3,4.8
Ashley Young,3,1,37,23,2036,1.0,1.0,0.0,7.0,0.0,0.5,0.5,1.0
Boubacar Kamara,2,1,22,21,1777,0.0,0.0,1.0,4.0,0.0,0.2,0.2,0.8
Matty Cash,3,1,24,20,1820,0.0,0.0,1.0,4.0,0.0,0.2,0.2,0.7
Lucas Digne,3,1,29,18,1502,1.0,1.0,0.0,5.0,0.0,0.4,0.4,1.9
Álex Moreno,3,1,29,14,1329,0.0,0.0,3.0,3.0,0.0,0.6,0.6,3.0
Danny Ings,1,1,30,8,824,6.0,4.0,0.0,3.0,0.0,5.3,3.8,1.2
Philippe Coutinho,2,1,30,7,788,1.0,1.0,0.0,3.0,0.0,1.4,1.4,0.5
Leander Dendoncker,2,1,27,7,697,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5
