Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Bukayo Saka,2,0,18,30,2553,5.0,5.0,3.0,1.0,0.0,6.9,6.9,4.4
Granit Xhaka,1,0,27,29,2522,1.0,1.0,2.0,7.0,1.0,0.9,0.9,1.5
Rob Holding,0,0,24,28,2558,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.2
Pierre-Emerick Aubameyang,2,0,31,26,2332,10.0,8.0,3.0,2.0,0.0,10.2,8.6,2.4
Kieran Tierney,0,0,23,26,2299,1.0,1.0,3.0,4.0,0.0,0.5,0.5,3.5
Héctor Bellerín,0,0,25,24,2089,1.0,1.0,2.0,8.0,0.0,0.8,0.8,2.4
Gabriel Dos Santos,0,0,22,22,1996,2.0,2.0,0.0,4.0,1.0,1.3,1.3,0.1
Alexandre Lacazette,2,0,29,22,1923,13.0,10.0,2.0,3.0,0.0,11.7,9.3,2.2
Thomas Partey,1,0,27,18,1534,0.0,0.0,2.0,5.0,0.0,1.3,1.3,1.0
Emile Smith Rowe,1,0,20,18,1440,2.0,2.0,4.0,0.0,0.0,1.8,1.8,3.4
Dani Ceballos,1,0,23,17,1615,0.0,0.0,3.0,4.0,0.0,0.6,0.6,2.6
Mohamed Elneny,1,0,28,17,1544,1.0,1.0,0.0,3.0,0.0,0.4,0.4,0.2
David Luiz,0,0,33,17,1396,1.0,1.0,0.0,1.0,1.0,0.9,0.9,0.5
Nicolas Pépé,2,0,25,16,1616,10.0,9.0,1.0,1.0,1.0,5.8,5.0,1.0
Willian,2,0,31,16,1406,1.0,1.0,5.0,0.0,0.0,1.9,1.9,3.0
Pablo Marí,0,0,26,10,900,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3
Martin Ødegaard,1,0,21,9,866,1.0,1.0,2.0,0.0,0.0,0.7,0.7,2.0
Calum Chambers,0,0,25,8,753,0.0,0.0,2.0,0.0,0.0,0.4,0.4,1.1
Cédric Soares,0,0,28,8,746,0.0,0.0,1.0,1.0,0.0,0.3,0.3,0.9
Martinelli,2,0,19,7,589,2.0,2.0,1.0,0.0,0.0,3.3,3.3,1.8
Ainsley Maitland-Niles,1,0,22,5,490,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
Eddie Nketiah,2,0,21,4,423,2.0,2.0,1.0,0.0,0.0,1.8,1.8,0.6
Joe Willock,1,0,20,2,238,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1
Sead Kolašinac,0,0,27,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reiss Nelson,2,0,20,0,71,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Shkodran Mustafi,0,0,28,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Targett,0,1,24,38,3404,0.0,0.0,2.0,7.0,0.0,0.3,0.3,2.5
John McGinn,1,1,25,37,3330,3.0,3.0,5.0,12.0,0.0,2.5,2.5,3.6
Ollie Watkins,2,1,24,37,3328,14.0,13.0,5.0,4.0,1.0,14.5,13.0,5.3
Tyrone Mings,0,1,27,36,3194,2.0,2.0,2.0,6.0,1.0,1.9,1.9,0.4
Ezri Konsa,0,1,22,35,3196,2.0,2.0,0.0,3.0,0.0,2.4,2.4,0.1
Douglas Luiz,1,1,22,32,2781,0.0,0.0,2.0,10.0,1.0,1.2,1.2,1.6
Bertrand Traoré,2,1,24,29,2317,7.0,7.0,6.0,1.0,0.0,6.6,6.6,4.3
Matty Cash,0,1,22,28,2372,0.0,0.0,2.0,8.0,1.0,0.3,0.3,1.7
Jack Grealish,2,1,24,24,2185,6.0,6.0,10.0,6.0,0.0,4.6,4.6,7.4
Ross Barkley,1,1,26,18,1531,3.0,3.0,1.0,0.0,0.0,3.1,3.1,4.2
Anwar El Ghazi,2,1,25,17,1613,10.0,6.0,0.0,2.0,0.0,8.4,5.3,1.8
Trézéguet,2,1,25,12,1166,2.0,2.0,1.0,0.0,0.0,3.8,3.8,2.1
Marvelous Nakamba,1,1,26,9,749,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1
Ahmed Elmohamady,0,1,32,8,839,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.0
Kortney Hause,0,1,25,7,630,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
Jacob Ramsey,1,1,19,6,626,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3
Morgan Sanson,1,1,25,3,294,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1
Conor Hourihane,1,1,29,3,225,1.0,1.0,1.0,0.0,0.0,0.7,0.7,0.6
Keinan Davis,2,1,22,1,277,1.0,1.0,1.0,0.0,0.0,1.5,1.5,0.6
Carney Chukwuemeka,1,1,16,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Moraes,2,1,23,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil Taylor,0,1,31,0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jaden Philogene Bidace,2,1,18,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben White,0,4,22,36,3191,0.0,0.0,0.0,5.0,1.0,0.5,0.5,0.9
Yves Bissouma,1,4,23,35,3111,1.0,1.0,0.0,8.0,1.0,1.4,1.4,0.9
Lewis Dunk,0,4,28,33,2931,5.0,5.0,0.0,5.0,2.0,2.2,2.2,1.2
Leandro Trossard,1,4,25,30,2607,5.0,5.0,5.0,2.0,0.0,4.6,4.6,4.9
Adam Webster,0,4,25,29,2594,1.0,1.0,0.0,4.0,0.0,2.0,2.0,0.2
Neal Maupay,2,4,23,29,2512,8.0,5.0,2.0,1.0,1.0,13.2,10.1,3.9
Pascal Groß,1,4,29,27,2484,3.0,0.0,8.0,3.0,0.0,4.9,1.7,5.2
Joël Veltman,0,4,28,25,2281,1.0,1.0,1.0,3.0,0.0,1.1,1.1,1.7
Dan Burn,0,4,28,23,2061,1.0,1.0,0.0,5.0,0.0,1.5,1.5,0.8
Solly March,0,4,26,19,1672,2.0,2.0,1.0,0.0,0.0,1.7,1.7,1.5
Danny Welbeck,2,4,29,17,1545,6.0,6.0,1.0,0.0,0.0,6.6,5.8,2.8
Adam Lallana,1,4,32,16,1596,1.0,1.0,1.0,0.0,0.0,1.6,1.6,2.6
Alexis Mac Allister,1,4,21,13,1115,1.0,1.0,1.0,1.0,0.0,1.3,1.3,1.5
Tariq Lamptey,0,4,19,11,886,1.0,1.0,1.0,4.0,1.0,0.7,0.7,0.8
Steven Alzate,1,4,21,10,896,1.0,1.0,0.0,2.0,0.0,0.8,0.8,0.6
Aaron Connolly,2,4,20,9,791,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.2
Jakub Moder,0,4,21,7,647,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2
Alireza Jahanbakhsh,2,4,26,6,528,0.0,0.0,1.0,3.0,0.0,1.5,1.5,3.0
Davy Pröpper,1,4,28,2,213,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
Bernardo,0,4,25,2,206,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1
Percy Tau,2,4,26,1,103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4
Andi Zeqiri,2,4,21,0,171,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1
José Izquierdo,0,4,28,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reda Khadra,1,4,19,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayson Molumby,1,4,20,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Westwood,1,5,30,38,3410,3.0,3.0,3.0,7.0,0.0,1.2,1.2,6.8
James Tarkowski,0,5,27,36,3240,1.0,1.0,0.0,6.0,0.0,3.4,3.4,1.2
