Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Juninho Bacuna,2,11,20,16,1412,1.0,1.0,0.0,4.0,0.0,0.7,0.7,1.4
Elias Kachunga,1,11,26,13,1182,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2
Tommy Smith,3,11,26,13,1141,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.4
Laurent Depoitre,1,11,29,10,1068,0.0,0.0,1.0,1.0,0.0,2.5,2.5,0.7
Isaac Mbenza,1,11,22,10,986,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9
Karlan Grant,1,11,20,9,877,4.0,4.0,0.0,0.0,0.0,3.6,3.6,0.3
Jon Gorenc Stanković,2,11,22,9,715,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.1
Adama Diakhaby,1,11,22,6,552,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5
Rajiv van La Parra,1,11,27,5,405,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1
Jason Puncheon,2,11,32,5,382,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5
Danny Williams,2,11,29,1,96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aaron Rowe,1,11,17,1,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdelhamid Sabiri,1,11,21,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demeaco Duhaney,3,11,19,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramadan Sobhi,1,11,21,0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Matty Daly,2,11,17,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Quaner,1,11,27,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Wilfred Ndidi,2,13,21,37,3296,2.0,2.0,0.0,8.0,0.0,3.7,3.7,1.8
Ben Chilwell,3,13,21,36,3240,0.0,0.0,4.0,4.0,0.0,1.1,1.1,2.9
Ricardo Pereira,3,13,24,35,3123,2.0,2.0,6.0,7.0,0.0,1.2,1.2,5.2
James Maddison,2,13,21,35,2831,7.0,6.0,7.0,4.0,1.0,7.4,5.9,8.2
Harry Maguire,3,13,25,31,2596,3.0,3.0,0.0,6.0,1.0,2.4,2.4,0.8
Jamie Vardy,1,13,31,30,2726,18.0,14.0,4.0,3.0,1.0,18.3,14.4,5.1
Nampalys Mendy,2,13,26,23,2092,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2
Demarai Gray,1,13,22,23,1985,4.0,4.0,1.0,2.0,0.0,4.5,4.5,1.3
Jonny Evans,3,13,30,21,1996,1.0,1.0,0.0,2.0,0.0,0.9,0.9,0.3
Wes Morgan,3,13,34,21,1925,3.0,3.0,0.0,3.0,2.0,1.8,1.8,0.2
Marc Albrighton,1,13,28,18,1625,2.0,2.0,2.0,3.0,0.0,1.2,1.2,2.9
Youri Tielemans,2,13,21,13,1086,3.0,3.0,4.0,2.0,0.0,1.8,1.8,2.5
Harvey Barnes,2,13,20,11,1004,1.0,1.0,2.0,0.0,0.0,3.9,3.9,1.7
Kelechi Iheanacho,1,13,21,9,941,1.0,1.0,3.0,2.0,0.0,2.1,2.1,1.6
Rachid Ghezzal,1,13,26,8,743,1.0,1.0,0.0,3.0,0.0,1.4,1.4,1.7
Daniel Amartey,3,13,23,7,641,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1
Hamza Choudhury,2,13,20,7,595,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4
Çağlar Söyüncü,3,13,22,4,372,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0
