3,0,24,38,3409,3.0,3.0,0.0,5.0,0.0,5.1,5.1,0.3,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8,3.0,0.0,22.0,20.0,1679.0,0.0,0.0,1.0,2.0,0.0,0.6,0.6,1.0
1,0,20,37,3181,14.0,12.0,11.0,6.0,0.0,11.2,9.1,8.5,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,1.0,0.0,26.0,5.0,696.0,1.0,1.0,2.0,0.0,0.0,2.6,2.6,1.7,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8
2,0,23,37,3127,15.0,15.0,7.0,4.0,0.0,10.0,10.0,8.1,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,2.0,0.0,29.0,8.0,806.0,0.0,0.0,2.0,1.0,0.0,0.2,0.2,0.4,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8
3,0,24,36,3055,2.0,2.0,5.0,5.0,0.0,1.3,1.3,3.2,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8,3.0,0.0,22.0,20.0,1679.0,0.0,0.0,1.0,2.0,0.0,0.6,0.6,1.0
2,0,29,36,2993,7.0,7.0,7.0,4.0,0.0,4.7,4.7,5.2,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,2.0,0.0,29.0,8.0,806.0,0.0,0.0,2.0,1.0,0.0,0.2,0.2,0.4,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8
1,0,21,34,2789,15.0,15.0,5.0,3.0,0.0,9.3,9.3,9.1,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,1.0,0.0,26.0,5.0,696.0,1.0,1.0,2.0,0.0,0.0,2.6,2.6,1.7,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8
2,0,29,28,2483,3.0,3.0,0.0,5.0,0.0,2.2,2.2,1.5,2.0,0.0,28.0,23.0,2028.0,2.0,2.0,1.0,6.0,0.0,2.8,2.8,1.0,1.0,0.0,19.0,36.0,2978.0,11.0,9.0,7.0,6.0,0.0,10.3,8.7,7.5,1.0,0.0,20.0,21.0,1860.0,6.0,5.0,6.0,3.0,1.0,7.3,6.6,4.3,1.0,0.0,30.0,20.0,1782.0,4.0,2.0,7.0,0.0,0.0,8.4,6.0,3.0,1.0,0.0,32.0,12.0,1037.0,4.0,4.0,1.0,3.0,0.0,5.9,4.2,1.0,1.0,0.0,22.0,8.0,835.0,5.0,5.0,1.0,3.0,0.0,4.4,4.4,2.0,2.0,0.0,22.0,32.0,2785.0,7.0,7.0,4.0,4.0,0.0,4.8,4.8,6.3,2.0,0.0,28.0,27.0,2327.0,1.0,1.0,2.0,10.0,1.0,1.4,1.4,2.3,2.0,0.0,21.0,21.0,1921.0,10.0,10.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,21.0,12.0,1134.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,2.0,0.0,29.0,8.0,806.0,0.0,0.0,2.0,1.0,0.0,0.2,0.2,0.4,3.0,0.0,23.0,35.0,3063.0,5.0,5.0,0.0,8.0,1.0,3.2,3.2,0.7,3.0,0.0,23.0,32.0,2880.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,3.0,0.0,24.0,22.0,1915.0,1.0,1.0,3.0,0.0,0.0,0.6,0.6,1.8
3,0,25,26,2118,1.0,1.0,2.0,3.0,0.0,1.4,1.4,1.4,3.0,15.0,24.0,10.0,1047.0,0.0,0.0,4.0,0.0,0.0,0.5,0.5,2.7,1.0,15.0,21.0,24.0,2128.0,9.0,9.0,5.0,1.0,0.0,9.4,9.4,6.3,1.0,15.0,26.0,23.0,2128.0,13.0,11.0,5.0,1.0,0.0,14.0,11.5,5.5,1.0,15.0,25.0,22.0,1914.0,3.0,3.0,3.0,3.0,0.0,5.3,5.3,6.0,1.0,15.0,24.0,21.0,1877.0,8.0,7.0,8.0,1.0,0.0,9.8,9.0,5.7,1.0,15.0,30.0,15.0,1498.0,11.0,7.0,5.0,0.0,0.0,10.1,6.2,4.2,2.0,15.0,25.0,33.0,2884.0,7.0,7.0,2.0,5.0,0.0,2.3,2.3,1.4,2.0,15.0,26.0,33.0,2857.0,8.0,8.0,4.0,6.0,0.0,6.7,6.7,6.5,2.0,15.0,30.0,25.0,2201.0,15.0,15.0,8.0,2.0,0.0,5.7,5.7,10.4,2.0,15.0,30.0,20.0,1857.0,8.0,8.0,4.0,1.0,0.0,9.0,9.0,4.9,2.0,15.0,36.0,10.0,964.0,2.0,2.0,1.0,1.0,0.0,1.6,1.6,1.0,3.0,15.0,27.0,36.0,3227.0,1.0,1.0,7.0,7.0,0.0,4.0,4.0,5.4,3.0,15.0,27.0,33.0,2828.0,4.0,4.0,0.0,5.0,1.0,4.9,4.9,0.6,3.0,15.0,24.0,27.0,2402.0,2.0,2.0,4.0,5.0,0.0,2.7,2.7,3.2
1,0,25,24,2064,11.0,10.0,6.0,6.0,0.0,14.0,13.2,3.9,1.0,15.0,24.0,21.0,1877.0,8.0,7.0,8.0,1.0,0.0,9.8,9.0,5.7,1.0,15.0,21.0,24.0,2128.0,9.0,9.0,5.0,1.0,0.0,9.4,9.4,6.3,1.0,15.0,26.0,23.0,2128.0,13.0,11.0,5.0,1.0,0.0,14.0,11.5,5.5,1.0,15.0,25.0,22.0,1914.0,3.0,3.0,3.0,3.0,0.0,5.3,5.3,6.0,1.0,15.0,30.0,15.0,1498.0,11.0,7.0,5.0,0.0,0.0,10.1,6.2,4.2,1.0,15.0,21.0,4.0,303.0,2.0,2.0,1.0,0.0,0.0,2.8,2.8,0.0,2.0,15.0,25.0,33.0,2884.0,7.0,7.0,2.0,5.0,0.0,2.3,2.3,1.4,2.0,15.0,26.0,33.0,2857.0,8.0,8.0,4.0,6.0,0.0,6.7,6.7,6.5,2.0,15.0,30.0,25.0,2201.0,15.0,15.0,8.0,2.0,0.0,5.7,5.7,10.4,2.0,15.0,30.0,20.0,1857.0,8.0,8.0,4.0,1.0,0.0,9.0,9.0,4.9,2.0,15.0,36.0,10.0,964.0,2.0,2.0,1.0,1.0,0.0,1.6,1.6,1.0,3.0,15.0,27.0,36.0,3227.0,1.0,1.0,7.0,7.0,0.0,4.0,4.0,5.4,3.0,15.0,27.0,33.0,2828.0,4.0,4.0,0.0,5.0,1.0,4.9,4.9,0.6,3.0,15.0,24.0,27.0,2402.0,2.0,2.0,4.0,5.0,0.0,2.7,2.7,3.2
1,0,27,10,931,1.0,1.0,10.0,0.0,0.0,1.8,1.8,4.7,1.0,4.0,26.0,32.0,2805.0,8.0,7.0,3.0,2.0,0.0,6.7,5.9,4.8,1.0,4.0,24.0,25.0,2276.0,8.0,7.0,2.0,7.0,0.0,8.7,7.1,2.4,1.0,4.0,30.0,15.0,1478.0,6.0,6.0,2.0,0.0,0.0,6.6,6.6,1.2,1.0,4.0,21.0,1.0,156.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,1.0,4.0,19.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,22.0,22.0,2123.0,5.0,3.0,2.0,4.0,0.0,6.3,4.0,1.9,2.0,4.0,24.0,25.0,2111.0,1.0,1.0,2.0,10.0,0.0,0.9,0.9,0.8,2.0,4.0,30.0,24.0,2038.0,2.0,2.0,4.0,1.0,0.0,2.9,2.1,5.5,2.0,4.0,22.0,19.0,1701.0,0.0,0.0,3.0,1.0,0.0,2.6,2.6,2.2,2.0,4.0,33.0,18.0,1561.0,0.0,0.0,1.0,4.0,0.0,1.1,1.1,0.9,3.0,4.0,23.0,35.0,3089.0,1.0,1.0,1.0,6.0,0.0,0.7,0.7,2.7,3.0,4.0,29.0,33.0,2874.0,1.0,1.0,1.0,6.0,0.0,0.7,0.7,1.6,3.0,4.0,29.0,29.0,2573.0,1.0,1.0,0.0,3.0,1.0,1.3,1.3,0.4
