Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Aaron Ramsdale,GK,Arsenal,24,38,"3,420",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gabriel Dos Santos,DF,Arsenal,24,38,"3,409",3.0,3.0,0.0,5.0,0.0,5.1,5.1,0.3
Bukayo Saka,FW,Arsenal,20,37,"3,181",14.0,12.0,11.0,6.0,0.0,11.2,9.1,8.5
Martin Ødegaard,MF,Arsenal,23,37,"3,127",15.0,15.0,7.0,4.0,0.0,10.0,10.0,8.1
Ben White,DF,Arsenal,24,36,"3,055",2.0,2.0,5.0,5.0,0.0,1.3,1.3,3.2
Granit Xhaka,MF,Arsenal,29,36,"2,993",7.0,7.0,7.0,4.0,0.0,4.7,4.7,5.2
Martinelli,FW,Arsenal,21,34,"2,789",15.0,15.0,5.0,3.0,0.0,9.3,9.3,9.1
Thomas Partey,MF,Arsenal,29,28,"2,483",3.0,3.0,0.0,5.0,0.0,2.2,2.2,1.5
William Saliba,DF,Arsenal,21,27,"2,415",2.0,2.0,1.0,4.0,0.0,0.9,0.9,1.2
Oleksandr Zinchenko,DF,Arsenal,25,26,"2,118",1.0,1.0,2.0,3.0,0.0,1.4,1.4,1.4
Gabriel Jesus,FW,Arsenal,25,24,"2,064",11.0,10.0,6.0,6.0,0.0,14.0,13.2,3.9
Leandro Trossard,FW,Arsenal,27,10,931,1.0,1.0,10.0,0.0,0.0,1.8,1.8,4.7
Eddie Nketiah,FW,Arsenal,23,9,"1,089",4.0,4.0,1.0,3.0,0.0,8.2,8.2,1.3
Jorginho,MF,Arsenal,30,9,855,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2
Kieran Tierney,DF,Arsenal,25,6,795,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.3
Takehiro Tomiyasu,DF,Arsenal,23,6,663,0.0,0.0,1.0,2.0,0.0,0.2,0.2,0.6
Rob Holding,DF,Arsenal,26,6,566,1.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0
Jakub Kiwior,DF,Arsenal,22,5,427,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0
Fabio Vieira,"MF,FW",Arsenal,22,3,514,1.0,1.0,2.0,0.0,0.0,0.8,0.8,2.5
Albert Sambi Lokonga,MF,Arsenal,22,2,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,MF,Arsenal,30,1,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reiss Nelson,FW,Arsenal,22,0,212,3.0,3.0,2.0,0.0,0.0,1.1,1.1,1.4
Emile Smith Rowe,"MF,FW",Arsenal,22,0,172,0.0,0.0,2.0,0.0,0.0,0.3,0.3,0.7
Cédric Soares,DF,Arsenal,30,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquinhos,MF,Arsenal,19,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Nwaneri,FW,Arsenal,15,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezri Konsa,DF,Aston Villa,24,37,"3,322",0.0,0.0,0.0,6.0,0.0,1.1,1.1,1.3
Emiliano Martínez,GK,Aston Villa,29,36,"3,139",0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.3
Ollie Watkins,FW,Aston Villa,26,36,"3,127",15.0,14.0,6.0,4.0,0.0,16.5,14.9,3.8
Tyrone Mings,DF,Aston Villa,29,35,"3,150",1.0,1.0,2.0,7.0,0.0,1.2,1.2,1.4
Douglas Luiz,MF,Aston Villa,24,33,"2,927",6.0,6.0,6.0,6.0,1.0,2.8,2.8,4.4
Jacob Ramsey,"MF,FW",Aston Villa,21,31,"2,636",6.0,6.0,7.0,5.0,0.0,5.0,5.0,5.1
John McGinn,"MF,FW",Aston Villa,27,30,"2,693",1.0,1.0,3.0,7.0,0.0,2.4,2.4,2.6
Emi Buendía,"MF,FW",Aston Villa,25,27,"2,412",5.0,5.0,2.0,0.0,0.0,6.3,6.3,5.7
Leon Bailey,"FW,MF",Aston Villa,24,26,"1,967",4.0,4.0,4.0,4.0,0.0,5.3,5.3,4.8
Ashley Young,DF,Aston Villa,37,23,"2,036",1.0,1.0,0.0,7.0,0.0,0.5,0.5,1.0
Boubacar Kamara,MF,Aston Villa,22,21,"1,777",0.0,0.0,1.0,4.0,0.0,0.2,0.2,0.8
Matty Cash,DF,Aston Villa,24,20,"1,820",0.0,0.0,1.0,4.0,0.0,0.2,0.2,0.7
Lucas Digne,DF,Aston Villa,29,18,"1,502",1.0,1.0,0.0,5.0,0.0,0.4,0.4,1.9
Álex Moreno,DF,Aston Villa,29,14,"1,329",0.0,0.0,3.0,3.0,0.0,0.6,0.6,3.0
Danny Ings,FW,Aston Villa,30,8,824,6.0,4.0,0.0,3.0,0.0,5.3,3.8,1.2
Philippe Coutinho,"MF,FW",Aston Villa,30,7,788,1.0,1.0,0.0,3.0,0.0,1.4,1.4,0.5
Leander Dendoncker,MF,Aston Villa,27,7,697,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5
