Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Harry Wilson,2,2,22,20,1646,7.0,7.0,0.0,2.0,0.0,4.0,4.0,2.4
Dominic Solanke,1,2,21,17,1651,3.0,3.0,1.0,1.0,0.0,4.6,4.6,1.2
Jack Stacey,3,2,23,17,1549,0.0,0.0,2.0,2.0,0.0,0.5,0.5,2.2
Lewis Cook,2,2,22,14,1352,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.5
Dan Gosling,2,2,29,14,1264,3.0,3.0,1.0,3.0,0.0,2.9,2.9,1.1
Simon Francis,3,2,34,10,969,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.2
Chris Mepham,3,2,21,10,912,1.0,1.0,0.0,1.0,0.0,0.9,0.9,0.1
David Brooks,2,2,22,8,506,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.3
Junior Stanislas,2,2,29,7,712,3.0,2.0,0.0,1.0,0.0,2.1,1.4,0.8
Lloyd Kelly,3,2,20,7,639,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3
Arnaut Danjuma,2,2,22,6,630,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2
Andrew Surman,2,2,32,2,235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Charlie Daniels,3,2,32,2,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Jack Simpson,3,2,22,1,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Jordon Ibe,3,2,23,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Surridge,1,2,21,0,27,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1
Lewis Dunk,3,4,27,36,3230,3.0,3.0,3.0,9.0,0.0,4.5,4.5,1.5
Dan Burn,3,4,27,33,2880,0.0,0.0,0.0,5.0,0.0,1.2,1.2,1.3
Davy Pröpper,2,4,27,32,2829,1.0,1.0,2.0,4.0,0.0,1.6,1.6,2.5
Adam Webster,3,4,24,31,2668,3.0,3.0,1.0,4.0,0.0,1.3,1.3,1.3
Neal Maupay,1,4,22,30,2766,10.0,9.0,3.0,3.0,0.0,13.4,11.8,2.1
Dale Stephens,2,4,30,28,2530,0.0,0.0,1.0,8.0,0.0,0.6,0.6,1.3
Aaron Mooy,2,4,28,25,2085,2.0,2.0,2.0,3.0,1.0,2.3,2.3,4.5
Martín Montoya,3,4,28,23,1896,0.0,0.0,1.0,5.0,0.0,1.5,1.5,1.8
Leandro Trossard,1,4,24,22,2011,5.0,5.0,3.0,0.0,0.0,5.0,5.0,3.9
Pascal Groß,2,4,28,22,1796,2.0,2.0,4.0,4.0,0.0,1.6,1.6,5.3
Yves Bissouma,2,4,22,15,1259,1.0,1.0,0.0,4.0,0.0,0.4,0.4,0.2
Aaron Connolly,1,4,19,14,1258,3.0,3.0,1.0,0.0,0.0,4.0,4.0,0.5
Shane Duffy,3,4,27,12,1238,1.0,1.0,0.0,2.0,0.0,1.2,1.2,0.2
Steven Alzate,2,4,20,12,1188,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.7
Solly March,1,4,25,11,1143,0.0,0.0,1.0,2.0,0.0,1.4,1.4,0.9
Glenn Murray,1,4,35,7,797,1.0,1.0,1.0,0.0,0.0,2.4,2.4,0.7
Bernardo,3,4,24,7,679,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1
Tariq Lamptey,3,4,18,7,588,0.0,0.0,1.0,2.0,0.0,0.1,0.1,1.0
Ezequiel Schelotto,3,4,30,4,361,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0
Alexis Mac Allister,2,4,20,4,352,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3
Alireza Jahanbakhsh,1,4,25,3,311,2.0,2.0,0.0,0.0,0.0,0.6,0.6,0.6
Jürgen Locadia,1,4,25,1,86,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0
Florin Andone,1,4,26,1,73,1.0,1.0,0.0,0.0,1.0,0.4,0.4,0.1
Gaëtan Bong,3,4,31,0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
James Tarkowski,3,5,26,38,3420,2.0,2.0,2.0,10.0,0.0,2.1,2.1,3.1
Dwight McNeil,2,5,19,38,3338,2.0,2.0,6.0,5.0,0.0,2.3,2.3,7.7
Ashley Westwood,2,5,29,35,3150,2.0,2.0,6.0,9.0,0.0,1.1,1.1,6.2
Ben Mee,3,5,29,32,2880,1.0,1.0,1.0,7.0,0.0,1.7,1.7,1.6
Jack Cork,2,5,30,30,2613,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.1
Chris Wood,1,5,27,29,2437,14.0,13.0,1.0,1.0,0.0,15.7,14.9,1.8
Charlie Taylor,3,5,25,22,1945,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.9
Jeff Hendrick,2,5,27,22,1931,2.0,2.0,2.0,8.0,0.0,1.7,1.7,1.6
Phil Bardsley,3,5,34,21,1890,0.0,0.0,1.0,6.0,0.0,0.3,0.3,1.4
Erik Pieters,3,5,30,21,1878,0.0,0.0,4.0,2.0,0.0,0.5,0.5,2.5
Jay Rodriguez,1,5,30,20,2016,8.0,7.0,1.0,1.0,0.0,8.8,8.0,0.6
Matthew Lowton,3,5,30,17,1530,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.2
Ashley Barnes,1,5,29,17,1352,6.0,5.0,0.0,4.0,0.0,6.2,5.4,0.3
Josh Brownhill,2,5,23,9,805,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1
Matěj Vydra,1,5,27,7,819,2.0,2.0,1.0,0.0,0.0,3.8,3.8,1.0
Jóhann Berg Guðmundsson,2,5,28,6,621,1.0,1.0,1.0,0.0,0.0,0.6,0.6,1.0
Kevin Long,3,5,28,6,564,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
Robbie Brady,2,5,27,5,454,1.0,1.0,2.0,1.0,0.0,1.1,1.1,0.4
Aaron Lennon,2,5,32,4,496,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1
Danny Drinkwater,2,5,29,1,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Thompson,1,5,17,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
César Azpilicueta,3,7,29,36,3229,2.0,2.0,6.0,1.0,0.0,2.4,2.4,6.0
Mason Mount,2,7,20,32,2867,7.0,7.0,5.0,3.0,0.0,6.4,6.4,5.4
Willian,1,7,30,29,2600,9.0,5.0,7.0,4.0,0.0,7.6,4.5,7.7
