Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Bukayo Saka,"FW,MF",Arsenal,19,36,"2,978",11,9,7,6,0,10.3,8.7,7.5
Gabriel Dos Santos,DF,Arsenal,23,35,"3,063",5,5,0,8,1,3.2,3.2,0.7
Aaron Ramsdale,GK,Arsenal,23,34,"3,060",0,0,0,1,0,0.0,0.0,0.0
Ben White,DF,Arsenal,23,32,"2,880",0,0,0,3,0,1.0,1.0,1.3
Martin Ødegaard,"MF,FW",Arsenal,22,32,"2,785",7,7,4,4,0,4.8,4.8,6.3
Granit Xhaka,"MF,DF",Arsenal,28,27,"2,327",1,1,2,10,1,1.4,1.4,2.3
Thomas Partey,MF,Arsenal,28,23,"2,028",2,2,1,6,0,2.8,2.8,1.0
Kieran Tierney,DF,Arsenal,24,22,"1,915",1,1,3,0,0,0.6,0.6,1.8
Emile Smith Rowe,"MF,FW",Arsenal,21,21,"1,921",10,10,2,1,0,6.0,6.0,2.0
Martinelli,"FW,MF",Arsenal,20,21,"1,860",6,5,6,3,1,7.3,6.6,4.3
Alexandre Lacazette,FW,Arsenal,30,20,"1,782",4,2,7,0,0,8.4,6.0,3.0
Takehiro Tomiyasu,DF,Arsenal,22,20,"1,679",0,0,1,2,0,0.6,0.6,1.0
Cédric Soares,DF,Arsenal,29,16,"1,486",1,1,1,3,0,0.6,0.6,1.6
Nuno Tavares,DF,Arsenal,21,13,"1,176",1,1,1,2,0,1.9,1.9,1.1
Albert Sambi Lokonga,MF,Arsenal,21,12,"1,134",0,0,0,5,0,0.6,0.6,1.0
Pierre-Emerick Aubameyang,FW,Arsenal,32,12,"1,037",4,4,1,3,0,5.9,4.2,1.0
Rob Holding,DF,Arsenal,25,9,845,1,1,0,4,1,0.4,0.4,0.0
Eddie Nketiah,FW,Arsenal,22,8,835,5,5,1,3,0,4.4,4.4,2.0
Mohamed Elneny,MF,Arsenal,29,8,806,0,0,2,1,0,0.2,0.2,0.4
Nicolas Pépé,"FW,MF",Arsenal,26,5,696,1,1,2,0,0,2.6,2.6,1.7
Bernd Leno,GK,Arsenal,29,4,360,0,0,0,0,0,0.0,0.0,0.0
Ainsley Maitland-Niles,MF,Arsenal,23,2,268,0,0,0,0,0,0.1,0.1,0.3
Pablo Marí,DF,Arsenal,27,2,180,0,0,0,1,0,0.1,0.1,0.1
Calum Chambers,DF,Arsenal,26,2,170,0,0,0,0,0,0.1,0.1,0.1
Sead Kolašinac,DF,Arsenal,28,1,91,0,0,0,1,0,0.0,0.0,0.0
Folarin Balogun,FW,Arsenal,20,1,70,0,0,0,0,0,0.2,0.2,0.0
Reiss Nelson,FW,Arsenal,21,0,20,0,0,0,0,0,0.1,0.1,0.0
Ryan Alebiousu,DF,Arsenal,19,0,,,,,,,,,
Zach Awe,DF,Arsenal,17,0,,,,,,,,,
Miguel Azeez,MF,Arsenal,18,0,,,,,,,,,
Héctor Bellerín,"DF,MF",Arsenal,26,0,,,,,,,,,
Mika Biereth,FW,Arsenal,18,0,,,,,,,,,
Marcelo Flores,MF,Arsenal,17,0,,,,,,,,,
Omari Hutchinson,DF,Arsenal,17,0,,,,,,,,,
Karl Jakob Hein,GK,Arsenal,19,0,,,,,,,,,
Alex Kirk,DF,Arsenal,18,0,,,,,,,,,
Mazeed Ogungbo,DF,Arsenal,18,0,,,,,,,,,
Arthur Okonkwo,GK,Arsenal,19,0,,,,,,,,,
Salah Oulad M'Hand,MF,Arsenal,17,0,,,,,,,,,
Charlie Patino,MF,Arsenal,17,0,,,,,,,,,
Zak Swanson,DF,Arsenal,20,0,,,,,,,,,
Matty Cash,DF,Aston Villa,23,38,"3,377",4,4,3,8,0,2.7,2.7,2.8
Emiliano Martínez,GK,Aston Villa,28,36,"3,240",0,0,0,4,0,0.0,0.0,0.0
Tyrone Mings,DF,Aston Villa,28,35,"3,189",1,1,3,11,0,1.6,1.6,1.6
John McGinn,MF,Aston Villa,26,35,"3,090",3,3,4,8,0,1.5,1.5,5.3
Ollie Watkins,FW,Aston Villa,25,33,"2,952",11,10,2,7,0,11.6,11.0,3.4
Douglas Luiz,MF,Aston Villa,23,31,"2,715",2,2,3,7,0,2.0,2.0,2.5
Ezri Konsa,DF,Aston Villa,23,29,"2,477",2,2,0,6,2,1.6,1.6,0.3
Jacob Ramsey,MF,Aston Villa,20,29,"2,467",6,6,1,6,0,4.0,4.0,1.9
Emi Buendía,"MF,FW",Aston Villa,24,22,"1,899",4,4,6,1,0,3.4,3.4,5.8
Danny Ings,FW,Aston Villa,29,22,"1,898",7,6,6,4,0,7.1,6.3,1.6
Matt Targett,DF,Aston Villa,25,17,"1,431",1,1,1,2,0,0.5,0.5,1.7
Philippe Coutinho,"MF,FW",Aston Villa,29,16,"1,329",5,5,3,0,0,3.8,3.8,2.9
Lucas Digne,DF,Aston Villa,28,16,"1,269",0,0,4,2,0,0.5,0.5,2.2
Ashley Young,"DF,FW",Aston Villa,36,10,"1,250",0,0,2,2,0,0.4,0.4,1.0
Marvelous Nakamba,MF,Aston Villa,27,10,904,0,0,0,5,0,0.0,0.0,0.0
Calum Chambers,DF,Aston Villa,26,9,831,1,1,0,1,0,0.2,0.2,0.1
Leon Bailey,"FW,MF",Aston Villa,23,7,761,1,1,2,3,0,1.5,1.5,0.8
Axel Tuanzebe,DF,Aston Villa,23,6,508,0,0,0,1,0,0.1,0.1,0.0
Kortney Hause,DF,Aston Villa,26,4,397,1,1,0,0,0,0.1,0.1,0.0
Anwar El Ghazi,"FW,MF",Aston Villa,26,4,386,1,0,1,2,0,1.1,0.3,0.4
Morgan Sanson,MF,Aston Villa,26,3,356,0,0,0,0,0,0.0,0.0,0.0
Carney Chukwuemeka,"MF,FW",Aston Villa,17,2,301,0,0,1,0,0,0.6,0.6,1.0
Bertrand Traoré,"MF,FW",Aston Villa,25,1,220,0,0,0,0,0,0.3,0.3,0.0
Tim Iroegbunam,MF,Aston Villa,18,1,92,0,0,0,1,0,0.1,0.1,0.0
Robin Olsen,GK,Aston Villa,31,1,90,0,0,0,0,0,0.0,0.0,0.0
Jed Steer,GK,Aston Villa,28,1,90,0,0,0,0,0,0.0,0.0,0.0
Cameron Archer,"FW,MF",Aston Villa,20,0,27,0,0,0,0,0,0.0,0.0,0.0
Keinan Davis,FW,Aston Villa,23,0,12,0,0,0,0,0,0.0,0.0,0.0
Trézéguet,FW,Aston Villa,26,0,11,0,0,0,0,0,0.0,0.0,0.0
Jaden Philogene Bidace,FW,Aston Villa,19,0,5,0,0,0,0,0,0.0,0.0,0.0
Wesley Moraes,FW,Aston Villa,24,0,1,0,0,0,0,0,0.0,0.0,0.0
Lamare Bogarde,MF,Aston Villa,17,0,,,,,,,,,
Benjamin Chrisene,DF,Aston Villa,17,0,,,,,,,,,
Josh Feeney,DF,Aston Villa,16,0,,,,,,,,,
Frederic Guilbert,"DF,MF",Aston Villa,26,0,,,,,,,,,
Conor Hourihane,MF,Aston Villa,30,0,,,,,,,,,
Kaine Kessler,"DF,MF",Aston Villa,18,0,,,,,,,,,
Filip Marshall,GK,Aston Villa,18,0,,,,,,,,,
Tommi O'Reilly,MF,Aston Villa,17,0,,,,,,,,,
Aaron Ramsey,MF,Aston Villa,18,0,,,,,,,,,
Viljami Sinisalo,GK,Aston Villa,19,0,,,,,,,,,
Pontus Jansson,DF,Brentford,30,37,"3,321",3,3,1,7,0,3.0,3.0,0.3
Christian Nørgaard,MF,Brentford,27,35,"3,054",3,3,4,8,0,3.8,3.8,3.3
Bryan Mbeumo,FW,Brentford,21,34,"2,905",4,3,7,4,0,9.3,8.5,3.7
Rico Henry,DF,Brentford,24,33,"2,776",3,3,0,2,0,1.5,1.5,1.7
Ivan Toney,FW,Brentford,25,32,"2,909",12,7,5,8,0,11.4,7.4,5.8
Ethan Pinnock,DF,Brentford,28,32,"2,694",1,1,1,1,0,1.2,1.2,1.2
Vitaly Janelt,MF,Brentford,23,27,"2,298",4,4,0,3,0,2.4,2.4,1.9
Sergi Canós,"DF,FW",Brentford,24,25,"2,083",3,3,2,8,1,3.0,3.0,1.7
David Raya,GK,Brentford,25,24,"2,160",0,0,0,1,0,0.0,0.0,0.0
Kristoffer Ajer,DF,Brentford,23,23,"1,995",1,1,3,5,0,0.8,0.8,1.7
Mathias Jensen,MF,Brentford,25,19,"1,601",0,0,1,0,0,2.9,2.9,3.2
Yoane Wissa,FW,Brentford,24,12,"1,284",7,7,1,0,0,3.1,3.1,0.9
Mads Roerslev,DF,Brentford,22,12,"1,240",1,1,1,1,0,0.4,0.4,0.6
Álvaro Fernández,GK,Brentford,23,12,"1,080",0,0,0,0,0,0.0,0.0,0.0
Frank Onyeka,MF,Brentford,23,12,"1,045",0,0,0,4,0,0.8,0.8,0.2
Christian Eriksen,MF,Brentford,29,10,939,1,1,4,1,0,1.3,1.3,3.5
Shandon Baptiste,MF,Brentford,23,9,910,1,1,0,2,1,0.7,0.7,0.5
Mads Bech Sørensen,DF,Brentford,22,9,835,0,0,0,3,0,0.1,0.1,0.4
Mathias Jørgensen,DF,Brentford,31,6,518,1,1,0,2,0,0.1,0.1,0.3
Saman Ghoddos,"MF,DF",Brentford,27,4,536,1,1,1,2,0,0.5,0.5,1.2
Charlie Goode,DF,Brentford,25,4,450,0,0,0,3,0,0.1,0.1,1.0
Josh Dasilva,"MF,FW",Brentford,22,2,257,0,0,0,0,1,0.1,0.1,0.1
Jonas Lössl,GK,Brentford,32,2,180,0,0,0,0,0,0.0,0.0,0.0
Dominic Thompson,DF,Brentford,21,2,146,0,0,0,0,0,0.1,0.1,0.0
Marcus Forss,"FW,MF",Brentford,22,1,209,0,0,1,0,0,0.3,0.3,0.2
Mads Bidstrup,MF,Brentford,20,0,41,0,0,0,0,0,0.0,0.0,0.0
Tariqe Fosu,DF,Brentford,25,0,17,0,0,0,0,0,0.0,0.0,0.0
Finley Stevens,DF,Brentford,18,0,15,0,0,0,0,0,0.0,0.0,0.1
Nathan Young-Coombes,MF,Brentford,18,0,4,0,0,0,0,0,0.0,0.0,0.0
Matthew Cox,GK,Brentford,18,0,,,,,,,,,
Halil Dervişoğlu,FW,Brentford,21,0,,,,,,,,,
Patrik Gunnarsson,GK,Brentford,20,0,,,,,,,,,
Maxwell Haygarth,MF,Brentford,19,0,,,,,,,,,
Julian Jeanvier,DF,Brentford,29,0,,,,,,,,,
Edmond-Paris Maghoma,MF,Brentford,20,0,,,,,,,,,
Myles Peart-Harris,MF,Brentford,18,0,,,,,,,,,
Robert Sánchez,GK,Brighton,23,37,"3,329",0,0,0,3,1,0.0,0.0,0.4
Marc Cucurella,DF,Brighton,23,35,"3,089",1,1,1,6,0,0.7,0.7,2.7
Joël Veltman,DF,Brighton,29,33,"2,874",1,1,1,6,0,0.7,0.7,1.6
Leandro Trossard,"FW,MF",Brighton,26,32,"2,805",8,7,3,2,0,6.7,5.9,4.8
Lewis Dunk,DF,Brighton,29,29,"2,573",1,1,0,3,1,1.3,1.3,0.4
Neal Maupay,FW,Brighton,24,25,"2,276",8,7,2,7,0,8.7,7.1,2.4
Yves Bissouma,MF,Brighton,24,25,"2,111",1,1,2,10,0,0.9,0.9,0.8
Pascal Groß,"MF,DF",Brighton,30,24,"2,038",2,2,4,1,0,2.9,2.1,5.5
Alexis Mac Allister,"MF,FW",Brighton,22,22,"2,123",5,3,2,4,0,6.3,4.0,1.9
Jakub Moder,MF,Brighton,22,19,"1,701",0,0,3,1,0,2.6,2.6,2.2
Adam Lallana,MF,Brighton,33,18,"1,561",0,0,1,4,0,1.1,1.1,0.9
Solly March,"DF,FW",Brighton,27,17,"1,746",0,0,2,1,0,1.2,1.2,2.3
Tariq Lamptey,"DF,FW",Brighton,20,16,"1,561",0,0,2,4,0,0.8,0.8,2.6
Adam Webster,DF,Brighton,26,16,"1,434",2,2,0,5,0,0.9,0.9,0.0
Danny Welbeck,"FW,MF",Brighton,30,15,"1,478",6,6,2,0,0,6.6,6.6,1.2
Shane Duffy,DF,Brighton,29,15,"1,436",1,1,0,7,0,1.0,1.0,0.2
Dan Burn,DF,Brighton,29,12,"1,022",1,1,0,4,0,1.6,1.5,0.5
Enock Mwepu,MF,Brighton,23,12,996,2,2,4,2,0,2.1,2.1,1.6
Moisés Caicedo,MF,Brighton,19,8,660,1,1,1,2,0,0.8,0.8,0.3
Steven Alzate,MF,Brighton,22,5,404,0,0,0,0,0,0.1,0.1,0.2
Aaron Connolly,"FW,MF",Brighton,21,1,156,0,0,0,0,0,0.4,0.4,0.1
Jason Steele,GK,Brighton,30,1,90,0,0,0,0,0,0.0,0.0,0.0
Jeremy Sarmiento,"FW,MF",Brighton,19,1,48,0,0,0,0,0,0.0,0.0,0.0
Taylor Richards,MF,Brighton,20,0,25,0,0,0,0,0,0.0,0.0,0.0
Evan Ferguson,MF,Brighton,16,0,23,0,0,0,0,0,0.0,0.0,0.0
Jürgen Locadia,"MF,FW",Brighton,27,0,23,0,0,0,0,0,0.2,0.2,0.0
Florin Andone,FW,Brighton,28,0,,,,,,,,,
Michał Karbownik,DF,Brighton,20,0,,,,,,,,,
Marc Leonard,MF,Brighton,19,0,,,,,,,,,
Thomas Mcgill,GK,Brighton,21,0,,,,,,,,,
Odeluga Offiah,DF,Brighton,18,0,,,,,,,,,
Haydon Roberts,DF,Brighton,19,0,,,,,,,,,
Kjell Scherpen,GK,Brighton,21,0,,,,,,,,,
Ed Turns,DF,Brighton,18,0,,,,,,,,,
Andi Zeqiri,FW,Brighton,22,0,,,,,,,,,
Nick Pope,GK,Burnley,29,36,"3,240",0,0,0,1,0,0.0,0.0,0.1
Dwight McNeil,MF,Burnley,21,35,"3,107",0,0,1,1,0,2.3,2.3,4.6
James Tarkowski,DF,Burnley,28,35,"3,106",1,1,2,11,0,2.5,2.5,0.5
Josh Brownhill,MF,Burnley,25,32,"2,955",2,2,3,10,0,1.4,1.4,2.6
Charlie Taylor,DF,Burnley,27,30,"2,731",0,0,3,3,0,0.2,0.2,3.8
Ashley Westwood,MF,Burnley,31,26,"2,287",0,0,3,7,0,0.6,0.6,4.1
Ben Mee,DF,Burnley,31,21,"1,839",3,3,0,3,0,2.3,2.3,1.0
Maxwel Cornet,"FW,MF",Burnley,24,21,"1,766",9,9,1,2,0,6.7,5.9,1.7
Matthew Lowton,DF,Burnley,32,20,"1,772",1,1,2,3,1,0.7,0.7,2.1
Jack Cork,MF,Burnley,32,20,"1,670",1,1,0,4,0,0.7,0.7,0.3
Connor Roberts,DF,Burnley,25,19,"1,692",1,1,1,2,0,0.4,0.4,1.2
Nathan Collins,DF,Burnley,20,18,"1,670",2,2,0,2,1,1.5,1.5,1.5
Aaron Lennon,"MF,FW",Burnley,34,17,"1,551",2,2,0,2,0,1.1,1.1,0.5
Wout Weghorst,FW,Burnley,28,17,"1,450",2,2,3,3,0,4.8,4.8,1.5
Chris Wood,FW,Burnley,29,17,"1,367",3,3,0,1,0,4.2,4.2,0.5
Jay Rodriguez,FW,Burnley,32,13,"1,382",2,2,2,3,0,4.8,4.8,2.1
Jóhann Berg Guðmundsson,MF,Burnley,30,13,"1,102",0,0,1,2,0,1.6,1.6,0.5
Ashley Barnes,FW,Burnley,31,8,808,1,0,0,4,0,2.1,1.4,0.9
Erik Pieters,DF,Burnley,32,8,730,0,0,1,1,0,0.2,0.2,1.0
Matěj Vydra,FW,Burnley,29,5,679,2,2,3,1,0,2.9,2.9,0.7
Kevin Long,DF,Burnley,30,4,410,0,0,0,1,0,0.2,0.2,0.0
Wayne Hennessey,GK,Burnley,34,2,180,0,0,0,0,0,0.0,0.0,0.2
Dale Stephens,MF,Burnley,32,1,124,0,0,0,1,0,0.0,0.0,0.0
Phil Bardsley,DF,Burnley,36,0,,,,,,,,,
Dara Costelloe,DF,Burnley,18,0,,,,,,,,,
Owen Dodgson,"DF,MF",Burnley,18,0,,,,,,,,,
Anthony Gomez Mancini,MF,Burnley,20,0,,,,,,,,,
Joseph McGlynn,MF,Burnley,18,0,,,,,,,,,
Will Norris,GK,Burnley,27,0,,,,,,,,,
Lewis Richardson,FW,Burnley,18,0,,,,,,,,,
